Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
RECV 63043005
SEND 63043019
ADD 63043007
RECV 63043021
SEND 63043037
ADD 63043023
RECV 63043039
SEND 63043053
ADD 63043041
RECV 63043055
SEND 63043071
ADD 63043057
RECV 63043073
SEND 63043088
ADD 63043074
RECV 63043090
SEND 63043104
ADD 63043092
RECV 63043106
SEND 63043122
ADD 63043108
RECV 63043123
SEND 63043140
ADD 63043128
RECV 63043141
SEND 63043158
ADD 63043143
RECV 63043160
SEND 63043176
ADD 63043162
RECV 63043178
SEND 63043192
ADD 63043179
RECV 63043193
SEND 63043210
ADD 63043195
RECV 63043212
SEND 63043226
ADD 63043214
RECV 63043228
SEND 63043244
ADD 63043230
RECV 63043246
SEND 63043260
ADD 63043248
RECV 63043263
SEND 63043278
ADD 63043264
RECV 63043280
SEND 63043294
ADD 63043282
RECV 63043297
SEND 63043311
ADD 63043298
RECV 63043314
SEND 63043329
ADD 63043315
RECV 63043331
SEND 63043346
ADD 63043333
RECV 63043348
SEND 63043362
ADD 63043349
RECV 63043365
SEND 63043380
ADD 63043366
RECV 63043382
SEND 63043398
ADD 63043384
RECV 63043400
SEND 63043414
ADD 63043401
RECV 63043416
SEND 63043431
ADD 63043418
RECV 63043433
SEND 63043448
ADD 63043435
RECV 63043450
SEND 63043466
ADD 63043452
RECV 63043467
SEND 63043482
ADD 63043469
RECV 63043484
SEND 63043499
ADD 63043485
RECV 63043501
SEND 63043517
ADD 63043502
RECV 63043519
SEND 63043534
ADD 63043520
RECV 63043536
SEND 63043550
ADD 63043537
RECV 63043552
SEND 63043567
ADD 63043554
RECV 63043569
SEND 63043585
ADD 63043570
RECV 63043587
SEND 63043602
ADD 63043588
RECV 63043604
SEND 63043619
ADD 63043605
RECV 63043620
SEND 63043636
ADD 63043622
RECV 63043637
SEND 63043654
ADD 63043639
RECV 63043656
SEND 63043671
ADD 63043658
RECV 63043673
SEND 63043687
ADD 63043675
RECV 63043689
SEND 63043704
SEND 63043721
SEND 63043739
SEND 63043755
ADD 63043691
RECV 63043815
ADD 63043816
RECV 63043817
ADD 63043819
RECV 63043819
ADD 63043821
RECV 63043822
SEND 63043833
ADD 63043823
RECV 63043835
SEND 63043849
ADD 63043836
RECV 63043851
SEND 63043867
ADD 63043853
RECV 63043869
SEND 63043884
ADD 63043870
RECV 63043885
SEND 63043902
ADD 63043887
RECV 63043903
SEND 63043921
ADD 63043905
RECV 63043923
SEND 63043939
ADD 63043925
RECV 63043941
SEND 63043956
ADD 63043943
RECV 63043957
SEND 63043974
ADD 63043959
RECV 63043975
SEND 63043990
ADD 63043977
RECV 63043992
SEND 63044007
ADD 63043993
RECV 63044009
SEND 63044024
ADD 63044011
RECV 63044026
SEND 63044042
ADD 63044028
RECV 63044044
SEND 63044058
ADD 63044046
RECV 63044060
SEND 63044076
ADD 63044061
RECV 63044078
SEND 63044092
ADD 63044079
RECV 63044094
SEND 63044110
ADD 63044096
RECV 63044112
SEND 63044127
ADD 63044114
RECV 63044129
SEND 63044143
ADD 63044131
RECV 63044146
SEND 63044160
ADD 63044147
RECV 63044163
SEND 63044178
ADD 63044165
RECV 63044180
SEND 63044194
ADD 63044181
RECV 63044196
SEND 63044212
ADD 63044198
RECV 63044214
SEND 63044229
ADD 63044216
RECV 63044232
SEND 63044247
ADD 63044233
RECV 63044249
SEND 63044263
ADD 63044250
RECV 63044265
SEND 63044281
ADD 63044267
RECV 63044283
SEND 63044297
ADD 63044285
RECV 63044299
SEND 63044315
ADD 63044301
RECV 63044317
SEND 63044331
ADD 63044319
RECV 63044333
SEND 63044348
ADD 63044334
RECV 63044350
SEND 63044366
ADD 63044352
RECV 63044368
SEND 63044383
ADD 63044370
RECV 63044384
SEND 63044404
ADD 63044386
RECV 63044406
SEND 63044421
ADD 63044408
RECV 63044423
SEND 63044439
ADD 63044425
RECV 63044441
SEND 63044456
ADD 63044443
RECV 63044459
SEND 63044472
ADD 63044461
RECV 63044474
SEND 63044490
ADD 63044476
RECV 63044492
SEND 63044507
ADD 63044494
RECV 63044509
SEND 63044525
ADD 63044512
RECV 63044527
SEND 63044542
ADD 63044529
RECV 63044544
SEND 63044559
ADD 63044546
RECV 63044561
SEND 63044576
ADD 63044563
RECV 63044579
SEND 63044594
ADD 63044581
RECV 63044596
SEND 63044610
ADD 63044598
RECV 63044611
SEND 63044628
SEND 63044644
SEND 63044662
SEND 63044677
ADD 63044613
RECV 63044737
ADD 63044738
RECV 63044739
ADD 63044740
RECV 63044741
ADD 63044743
RECV 63044744
SEND 63044757
ADD 63044745
RECV 63044758
SEND 63044774
ADD 63044760
RECV 63044775
SEND 63044795
ADD 63044777
RECV 63044796
SEND 63044812
ADD 63044798
RECV 63044814
SEND 63044828
ADD 63044816
RECV 63044831
SEND 63044845
ADD 63044833
RECV 63044847
SEND 63044862
ADD 63044849
RECV 63044864
SEND 63044879
ADD 63044866
RECV 63044882
SEND 63044897
ADD 63044884
RECV 63044899
SEND 63044913
ADD 63044901
RECV 63044916
SEND 63044930
ADD 63044918
RECV 63044933
SEND 63044948
ADD 63044935
RECV 63044950
SEND 63044966
ADD 63044952
RECV 63044967
SEND 63044981
ADD 63044969
RECV 63044984
SEND 63044998
ADD 63044986
RECV 63045001
SEND 63045016
ADD 63045002
RECV 63045018
SEND 63045033
ADD 63045020
RECV 63045036
SEND 63045050
ADD 63045037
RECV 63045052
SEND 63045069
ADD 63045054
RECV 63045072
SEND 63045086
ADD 63045073
RECV 63045089
SEND 63045104
ADD 63045091
RECV 63045106
SEND 63045120
ADD 63045108
RECV 63045122
SEND 63045138
ADD 63045124
RECV 63045140
SEND 63045155
ADD 63045142
RECV 63045157
SEND 63045171
ADD 63045159
RECV 63045174
SEND 63045189
ADD 63045176
RECV 63045191
SEND 63045207
ADD 63045193
RECV 63045209
SEND 63045223
ADD 63045211
RECV 63045225
SEND 63045241
ADD 63045227
RECV 63045243
SEND 63045257
ADD 63045245
RECV 63045259
SEND 63045275
ADD 63045261
RECV 63045277
SEND 63045291
ADD 63045281
RECV 63045294
SEND 63045308
ADD 63045297
RECV 63045311
SEND 63045326
ADD 63045313
RECV 63045328
SEND 63045343
ADD 63045330
RECV 63045345
SEND 63045360
ADD 63045347
RECV 63045362
SEND 63045377
ADD 63045363
RECV 63045380
SEND 63045394
ADD 63045381
RECV 63045396
SEND 63045412
ADD 63045397
RECV 63045414
SEND 63045428
ADD 63045415
RECV 63045430
SEND 63045446
ADD 63045432
RECV 63045448
SEND 63045462
ADD 63045449
RECV 63045464
SEND 63045480
ADD 63045465
RECV 63045482
SEND 63045496
ADD 63045484
RECV 63045498
SEND 63045514
ADD 63045499
RECV 63045515
SEND 63045530
ADD 63045517
RECV 63045532
SEND 63045548
SEND 63045564
SEND 63045582
SEND 63045598
ADD 63045533
RECV 63045658
ADD 63045660
RECV 63045660
ADD 63045662
RECV 63045663
ADD 63045664
RECV 63045666
SEND 63045677
ADD 63045667
RECV 63045678
SEND 63045694
ADD 63045680
RECV 63045696
SEND 63045710
ADD 63045697
RECV 63045712
SEND 63045727
ADD 63045714
RECV 63045729
SEND 63045746
ADD 63045730
RECV 63045748
SEND 63045762
ADD 63045750
RECV 63045765
SEND 63045779
ADD 63045766
RECV 63045782
SEND 63045797
ADD 63045783
RECV 63045799
SEND 63045814
ADD 63045801
RECV 63045817
SEND 63045831
ADD 63045818
RECV 63045834
SEND 63045848
ADD 63045835
RECV 63045850
SEND 63045866
ADD 63045852
RECV 63045868
SEND 63045883
ADD 63045869
RECV 63045885
SEND 63045899
ADD 63045887
RECV 63045901
SEND 63045916
ADD 63045903
RECV 63045918
SEND 63045933
ADD 63045919
RECV 63045936
SEND 63045951
ADD 63045937
RECV 63045953
SEND 63045967
ADD 63045954
RECV 63045969
SEND 63045984
ADD 63045970
RECV 63045986
SEND 63046002
ADD 63045987
RECV 63046004
SEND 63046018
ADD 63046005
RECV 63046020
SEND 63046036
ADD 63046022
RECV 63046038
SEND 63046052
ADD 63046040
RECV 63046054
SEND 63046069
ADD 63046055
RECV 63046071
SEND 63046087
ADD 63046072
RECV 63046089
SEND 63046104
ADD 63046090
RECV 63046106
SEND 63046121
ADD 63046107
RECV 63046123
SEND 63046138
ADD 63046124
RECV 63046140
SEND 63046154
ADD 63046141
RECV 63046156
SEND 63046172
ADD 63046158
RECV 63046174
SEND 63046188
ADD 63046176
RECV 63046191
SEND 63046205
ADD 63046192
RECV 63046208
SEND 63046223
ADD 63046209
RECV 63046225
SEND 63046240
ADD 63046227
RECV 63046242
SEND 63046257
ADD 63046244
RECV 63046259
SEND 63046274
ADD 63046260
RECV 63046276
SEND 63046290
ADD 63046278
RECV 63046293
SEND 63046308
ADD 63046295
RECV 63046310
SEND 63046324
ADD 63046312
RECV 63046327
SEND 63046342
ADD 63046328
RECV 63046345
SEND 63046358
ADD 63046347
RECV 63046361
SEND 63046376
ADD 63046362
RECV 63046378
SEND 63046393
ADD 63046379
RECV 63046395
SEND 63046410
ADD 63046396
RECV 63046412
SEND 63046427
ADD 63046413
RECV 63046429
SEND 63046444
ADD 63046430
RECV 63046446
SEND 63046461
SEND 63046478
SEND 63046495
SEND 63046512
ADD 63046448
RECV 63046573
ADD 63046575
RECV 63046576
ADD 63046578
RECV 63046581
ADD 63046583
RECV 63046584
SEND 63046594
ADD 63046586
RECV 63046609
SEND 63046612
ADD 63046611
RECV 63046613
SEND 63046628
ADD 63046615
RECV 63046630
SEND 63046646
ADD 63046631
RECV 63046647
SEND 63046663
ADD 63046649
RECV 63046665
SEND 63046680
ADD 63046667
RECV 63046682
SEND 63046696
ADD 63046684
RECV 63046699
SEND 63046713
ADD 63046700
RECV 63046716
SEND 63046731
ADD 63046717
RECV 63046733
SEND 63046748
ADD 63046735
RECV 63046751
SEND 63046765
ADD 63046752
RECV 63046767
SEND 63046782
ADD 63046769
RECV 63046784
SEND 63046799
ADD 63046786
RECV 63046802
SEND 63046817
ADD 63046803
RECV 63046819
SEND 63046833
ADD 63046821
RECV 63046835
SEND 63046850
